"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p"
"PSA","stratification","ATE","4","60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.180469292850331,0.807198827840321,0.823111156643061
"PSA","stratification","ATE","4","60","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.0256548047209211,0.0212438649053645,0.227329749915927
"PSA","stratification","ATE","4","60","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.827088399472785,0.745762039068807,0.267540178710087
"PSA","stratification","ATE","4","70","~1.5","Raw","No","Original","trees",NA,NA,NA,0.00540974321819294,0.0292400680952302,0.853239029402666
"PSA","stratification","ATE","4","70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.589464512487818,0.931659556326386,0.52699983695178
"PSA","stratification","ATE","4","70","~3","Raw","No","Original","trees",NA,NA,NA,0.00701540988396703,0.0259650091104804,0.787043962713706
"PSA","stratification","ATE","4","70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.497070280199448,0.860209035854708,0.563431050649733
"PSA","stratification","ATE","4","70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.0114104968443182,0.029523966449769,0.699180688482865
"PSA","stratification","ATE","4","70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.651543133623728,0.949380895402413,0.492615212952328
"PSA","stratification","ATE","4","70","~3","Raw","No","Expanded","trees",NA,NA,NA,0.00895302259172517,0.0220968760425159,0.68539446019839
"PSA","stratification","ATE","4","70","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.225315621519611,0.876306946646372,0.797112721915909
"PSA","stratification","ATE","5","20/80","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.0228206117361087,0.0688310382508859,0.740296080154049
"PSA","stratification","ATE","5","20/80","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.521168474081481,1.72022886644971,0.761974427197592
"PSA","stratification","ATE","5","20/80","~3","Raw","No","Original","trees",NA,NA,NA,0.00131994031563426,0.0395118532416017,0.973358660337095
"PSA","stratification","ATE","5","20/80","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.319272796692817,1.28322006250003,0.803572065149477
"PSA","stratification","ATE","5","20/80","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.0110079680243478,0.0597999773316695,0.85398496485769
"PSA","stratification","ATE","5","20/80","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.368408371371431,1.61509975917175,0.819609144481279
"PSA","stratification","ATE","5","20/80","~3","Raw","No","Expanded","trees",NA,NA,NA,0.0204978263698937,0.0454289070820917,0.651957750234899
"PSA","stratification","ATE","5","20/80","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.21225840923033,1.27830842436659,0.343235783755372
"PSA","stratification","ATE","5","30/70","~1.5","Raw","No","Original","trees",NA,NA,NA,0.0111004245235837,0.0323621000345248,0.731649047934701
"PSA","stratification","ATE","5","30/70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.790374996459384,1.04704236509047,0.450467927270895
"PSA","stratification","ATE","5","30/70","~3","Raw","No","Original","trees",NA,NA,NA,-0.0111014602549606,0.0264868548935967,0.6751859102937
"PSA","stratification","ATE","5","30/70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.114338619811296,0.916546813783256,0.900740221289973
"PSA","stratification","ATE","5","30/70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.00219225611619588,0.0348374459039673,0.949833450313267
"PSA","stratification","ATE","5","30/70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.54187395653166,1.11000811641317,0.625511442324791
"PSA","stratification","ATE","5","30/70","~3","Raw","No","Expanded","trees",NA,NA,NA,0.00157902695115824,0.0249154854502659,0.949476848137314
"PSA","stratification","ATE","5","30/70","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.2767062761291,0.909659457642606,0.761031711385051
"PSA","stratification","ATE","5","40/60","~1.5","Raw","No","Original","trees",NA,NA,NA,0.00997559942715358,0.0266211095248253,0.707912775432325
"PSA","stratification","ATE","5","40/60","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.842143436552931,0.875170909845039,0.336058398929996
"PSA","stratification","ATE","5","40/60","~3","Raw","No","Original","trees",NA,NA,NA,-0.0223163786393099,0.0225346376217841,0.32216632322537
"PSA","stratification","ATE","5","40/60","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.607239423499927,0.779351358560592,0.435997732394205
"PSA","stratification","ATE","5","40/60","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.0162389386785548,0.0257777932700995,0.52880852063742
"PSA","stratification","ATE","5","40/60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.07089913286135,0.8750948016761,0.221219517947941
"PSA","stratification","ATE","5","40/60","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.000224126889183661,0.0235945952992767,0.992422100623159
"PSA","stratification","ATE","5","40/60","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.0753244088228208,0.788843217844578,0.923939529625215
"PSA","stratification","ATE","5","50","~1.5","Raw","No","Original","trees",NA,NA,NA,0.0090968402047096,0.0227332902424232,0.689085356407218
"PSA","stratification","ATE","5","50","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.569052175373481,0.742442819666695,0.443494129596718
"PSA","stratification","ATE","5","50","~3","Raw","No","Original","trees",NA,NA,NA,-0.0199730532172211,0.0190811118916097,0.295342810511808
"PSA","stratification","ATE","5","50","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.468095218082971,0.68639300439838,0.495340147159851
"PSA","stratification","ATE","5","50","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.016912829289296,0.0220693558420803,0.443559687756014
"PSA","stratification","ATE","5","50","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.806790106825807,0.741568423098273,0.276748684582449
"PSA","stratification","ATE","5","50","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.0141080917022717,0.0195272260236533,0.470081282234287
"PSA","stratification","ATE","5","50","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.196894290182835,0.676282282753556,0.770972540320193
"PSA","stratification","ATE","5","60","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.00624349592156182,0.0258022886227745,0.808824891354971
"PSA","stratification","ATE","5","60","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,0.180478448491798,0.811008125500799,0.823919576658328
"PSA","stratification","ATE","5","60","~3","Raw","No","Original","trees",NA,NA,NA,-0.0237581821035717,0.0208326085405722,0.254241657216683
"PSA","stratification","ATE","5","60","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.570659062784924,0.723733766386223,0.430501055024179
"PSA","stratification","ATE","5","60","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.00151603901403403,0.0245887600559946,0.950843161616099
"PSA","stratification","ATE","5","60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.14162377439234,0.800521676261304,0.859593694817081
"PSA","stratification","ATE","5","60","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.00573227010312703,0.0201444206943907,0.776011484232742
"PSA","stratification","ATE","5","60","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.0650166398815293,0.749513216692521,0.930882697947497
"PSA","stratification","ATE","5","70","~1.5","Raw","No","Original","trees",NA,NA,NA,0.00496653476226624,0.0302729529577699,0.869701789689014
"PSA","stratification","ATE","5","70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.624097543161473,0.949436793648585,0.511042002007982
"PSA","stratification","ATE","5","70","~3","Raw","No","Original","trees",NA,NA,NA,0.0143623501651276,0.0211512277002698,0.49719584007136
"PSA","stratification","ATE","5","70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.624442142285543,0.819134008032244,0.445958287488219
"PSA","stratification","ATE","5","70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.000456567115192083,0.0331672611092048,0.98901837233303
"PSA","stratification","ATE","5","70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.257966611315045,1.01702115583422,0.799792818479112
"PSA","stratification","ATE","5","70","~3","Raw","No","Expanded","trees",NA,NA,NA,0.00719290637006551,0.0219208551041086,0.742846888772946
"PSA","stratification","ATE","5","70","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.203308135423354,0.856309023137425,0.812352158618341
"PSA","stratification","ATE","6","20/80","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.0240646361400502,0.0681470771272902,0.724060690686924
"PSA","stratification","ATE","6","20/80","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.53708861311498,1.70895767381993,0.753369575668152
"PSA","stratification","ATE","6","20/80","~3","Raw","No","Original","trees",NA,NA,NA,0.0271785356862121,0.0362449519901617,0.453552480667949
"PSA","stratification","ATE","6","20/80","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-1.18745612667705,1.32570596391338,0.37066318803411
"PSA","stratification","ATE","6","20/80","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.0319664509497356,0.0670860200635306,0.633813934278644
"PSA","stratification","ATE","6","20/80","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.0271208220017681,1.70958165309496,0.987345779364209
"PSA","stratification","ATE","6","20/80","~3","Raw","No","Expanded","trees",NA,NA,NA,0.0440976174408762,0.0366793393474326,0.229609575625558
"PSA","stratification","ATE","6","20/80","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.74955356597544,1.20959062149209,0.148440806441122
"PSA","stratification","ATE","6","30/70","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.00791256920852027,0.0345498482608463,0.818890506658781
"PSA","stratification","ATE","6","30/70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.295893234897771,1.07964683458746,0.784078672318781
"PSA","stratification","ATE","6","30/70","~3","Raw","No","Original","trees",NA,NA,NA,0.00237033464494788,0.023869440737054,0.920911275749538
"PSA","stratification","ATE","6","30/70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.293061362627355,0.884858260391998,0.740547112569157
"PSA","stratification","ATE","6","30/70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.00133892525578715,0.0384043720615366,0.972193679775155
"PSA","stratification","ATE","6","30/70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.653447164197882,1.13303895776571,0.564228679492901
